occurrenceID,Bottle_Box_No,Data_Recorder,associatedID,sex,lifeStage,LocalityLabel,country,stateProvince,locality,(DMS) Latitude & Longitude,elevation,decimalLatitude,decimalLongtitude,georeferenceVerificationStatus,family,genus,specificEpithet,identificationQualifier,typeStatus,eventDate,day,month,year,recordedBy,Remark
ARA-2018-333,17,NT,,,adult,"Ang Khang Royal Agricultural Station, Fang D., Chiang Mai",Thailand,Chiang Mai,Ang Khang Royal Agriculture Station,"19°54'38.66""N, 99°02'45.36""E",1479,19.90928,99.04133,,Atypidae,,,,,2018-12-17,17,12,2018,"Warrit N., et al.",
ARA-2019-135,17,NT,,female,adult,"Kaew Chan WF., Suan Phueng, Suan Phueng D., Ratchaburi",Thailand,Ratchaburi,Kaew Chan Waterfall,"13°31'17.88""N, 99°14'0.74""E",251,,,,Bemmeridae,Damarchus,,,,2019-01-17,17,1,2019,,
ARA-2019-004,17,NT,,,,"Srinakarin Dam, Tha Kradan, Si Sawat District, Kanchanaburi",Thailand,Kanchanaburi,Srinakarin dam,"14°24'11.07""N, 99°07'13.84""E",189,14.40067,99.11931,,Dipluridae,,,,,2019-01-31,31,1,2019,,
ARA-2019-136,17,NT,,,,จุดร่อนดิน 2,Thailand,,,,,,,,,,,,,,,,,,
ARA-2019-060,17,NT,,,adult,"Wiang Ko Sai NP., Wang Chin D., Phrae",Thailand,Phrae,Wiang Ko Sai National Park,"17°58'07.64""N, 99°35'29.02""E",285,,,,Lycosidae,,,,,2018-10-05,5,10,2018,,
ARA-2019-075,17,NT,,female,adult,"Prek Throot Eco Park Tuek Chnou, Kampot, Cambodia",Cambodia,,,"10°36'44.29""N, 103°57'16.61""E",,,,,,Chilobrachys,,,,2019-09-18,18,9,2019,,
ARA-2018-030,18,NT,,,adult,"Moo 4, Bang Non, Mueang D., Ranong",Thailand,Ranong,Bang Non,,,,,,,Phlogiellus,,,,2019-05-16,16,5,2019,Wipadilok J.,
ARA-2018-121,18,NT,,female,adult,"Krathing WF., Khao Khitchakut NP., Khao Khitchakut D., Chanthaburi",Thailand,Chanthaburi,Krathing Waterfall,"12°50.300'N, 102°07.356'E",33,12.83858,102.12119,,Idiopidae,Idiops,,,,2018-03-17,17,3,2018,Warrit N. et al.,
ARA-2018-214,18,NT,,,adult,"Khao Daeng View Point, Khao Sam Roi Yod NP., Prachuap Khiri Khan",Thailand,Prachuap Khiri Khan,Khao Sam Roi Yod National Park,"12°7.661'N, 99°57.422'E",29.59,12.1281,99.9578,,Idiopidae,Prothemenops,,,,2018-07-09,9,7,2018,"Warrit N., et al.",
ARA-2018-215,18,NT,,female,adult,"Khao Daeng View Point, Khao Sam Roi Yod NP., Prachuap Khiri Khan",Thailand,Prachuap Khiri Khan,Khao Sam Roi Yod National Park,"12°7.661'N, 99°57.422'E",29.59,12.1281,99.9578,,Idiopidae,Prothemenops,,,,2018-07-09,9,7,2018,"Warrit N., et al.",
ARA-2018-242,18,NT,,female,adult,"Hoob Watershed Management Unit, Pha Tong, Tha Wang Pha D., Nan",Thailand,Nan,Hoob Watershed Management Unit,"19°13.800'N, 100°45.683'E",355.2,19.22996,100.76134,,,Chilobrachys,,,,2018-08-11,11,8,2018,"Warrit N., et al.",
ARA-2018-243,18,NT,,,adult,"Hoob Watershed Management Unit, Pha Tong, Tha Wang Pha D., Nan",Thailand,Nan,Hoob Watershed Management Unit,"19°13.800'N, 100°45.683'E",355.2,19.22996,100.76134,,,Chilobrachys,,,,2018-08-11,11,8,2018,"Warrit N., et al.",
ARA-2018-252,18,NT,,female,adult,"Doi Pha Hom Pok NP., Pong Nam Ron, Fang D., Chiang Mai",Thailand,Chiang Mai,Doi Pha Hom Pok National Park,"19°58'29.6""N, 99°11'42.7""E",549,19.97489,99.19524,,,Chilobrachys,,,,2018-12-18,18,12,2018,Warrit N. et al.,
